RegionName,City,State,Metro,CountyName,SizeRank,12/1/2010,1/1/2011,2/1/2011,3/1/2011,4/1/2011,5/1/2011,6/1/2011,7/1/2011,8/1/2011,9/1/2011,10/1/2011,11/1/2011,12/1/2011,1/1/2012,2/1/2012,3/1/2012,4/1/2012,5/1/2012,6/1/2012,7/1/2012,8/1/2012,9/1/2012,10/1/2012,11/1/2012,12/1/2012,1/1/2013,2/1/2013,3/1/2013,4/1/2013,5/1/2013,6/1/2013,7/1/2013,8/1/2013,9/1/2013,10/1/2013,11/1/2013,12/1/2013,1/1/2014,2/1/2014,3/1/2014,4/1/2014,5/1/2014,6/1/2014,7/1/2014,8/1/2014,9/1/2014,10/1/2014,11/1/2014,12/1/2014,1/1/2015,2/1/2015,3/1/2015,4/1/2015,5/1/2015,6/1/2015,7/1/2015,8/1/2015,9/1/2015,10/1/2015,11/1/2015,12/1/2015,1/1/2016,2/1/2016,3/1/2016,4/1/2016,5/1/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016
89123,Las Vegas,NV,Las Vegas,Clark,39,,,,,,,,,,,,,,1500,1537.5,1475,1475,1450,1495,1472.5,1500,1495,1462.5,1400,1450,1395,1450,1522.5,1550,1525,1400,1595,1595,1572.5,1550,1497.5,1495,1500,1500,1485,1497.5,1495,1495,1497.5,1500,1500,1500,1595,1550,1575,1595,1550,1550,1550,1595,1512.5,1500,1595,1472.5,1575,1600,1600,1600,1650,1600,1595,1600,1625,1517.5,1600
89052,Henderson,NV,Las Vegas,Clark,40,,,,,,,,,,,,,,2100,2100,2075,2100,1995,1995,1985,1825,1852.5,1947.5,1895,1895,1797.5,1800,1850,1800,1650,1600,1715,1750,1797.5,1795,1795,1745,1725,1800,1795,1750,1750,1700,1700,1850,1895,1895,1950,1925,1900,1900,1995,2037.5,2100,2000,1997.5,1950,1897.5,1795,1800,1837.5,1795,1950,1995,2100,1985,2045,1985,2100,2000
32828,Orlando,FL,Orlando,Orange,41,,,,,,,,1600,1595,1575,1400,1425,1550,1500,1525,1572.5,1550,1500,1550,1550,1500,1500,1550,1550,1500,1550,1595,1595,1575,1595,1550,1595,1675,1595,1595,1595,1595,1595,1595,1595,1595,1637.5,1650,1595,1625,1600,1595,1550,1562.5,1595,1600,1625,1695,1700,1685,1700,1697.5,1600,1600,1625,1699.5,1695,1675,1650,1625,1625,1685,1725,1737.5,1695
89031,North Las Vegas,NV,Las Vegas,Clark,42,,,,,,1225,1250,1250,1250,1250,1200,1200,1200,1200,1200,1225,1275,1250,1200,1195,1195,1195,1200,1195,1195,1195,1199.5,1200,1195,1200,1225,1200,1200,1200,1250,1200,1195,1195,1195,1195,1195,1195,1200,1200,1200,1225,1250,1200,1200,1200,1200,1250,1250,1295,1300,1300,1250,1250,1275,1250,1250,1250,1250,1250,1275,1295,1300,1337.5,1374.5,1350
11213,New York,NY,New York,Kings,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2872.5,2750,2675,2675,2725,2895,3049.5,2975,2937.5,2900,2750,2897,2900,2900,3000,3000,3000,2997,2900,2925,3099.5,3000,2995,2999,3000,3000,2999,2900,2880,2850,2750,2871.5,2850,3100,3150
10031,New York,NY,New York,New York,44,,,,,,,2750,2797,2850,3000,2922.5,2775,2750,2810,2800,2795,2795,2797.5,2900,2895,2785,2797.5,2795,2775,2800,2800,2899,2900,2950,2950,2850,2900,3000,3195,3200,3095,3250,3204,3200,3200,3195,3195,3565,3547.5,3595,3397.5,3395,3400,3300,3200,3000,3225,3347.5,3297.5,3300,3300,3395,3300,3275,3300,3300,3200,3395,3395,3545,3300,3300,3347.5,3400,3300
33414,Wellington,FL,Miami-Fort Lauderdale,Palm Beach,45,,,,,,2250,2300,2300,2425,2237.5,2350,2400,2385,2300,2350,2250,2250,2200,2275,2250,2350,2350,2400,2400,2500,2350,2295,2200,2250,2250,2262.5,2300,2300,2400,2400,2450,2400,2375,2350,2350,2350,2325,2400,2400,2500,2450,2400,2400,2575,2400,2350,2400,2500,2492.5,2480,2475,2500,2600,2550,2690,2700,2600,2597.5,2600,2550,2500,2550,2500,2525,2544.5
75035,Frisco,TX,Dallas-Fort Worth,Collin,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1795,1850,1985,1950,1995,1900,1900,1897.5,1875,1895,1900,1950,1850,1850,1850,1850,1900,1895,1850,1895,1950,1997.5,2000,1950,1992.5,1950,1995,2000,1962.5,2000,2050,2095,2000,2100,2100,2062.5,2000,2025,2000,2000
77346,Atascocita,TX,Houston,Harris,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1700,1637.5,1600,1625,1650,1700,1785,1700,1700,1744.5,1714.5,1700,1762.5,1795,1800,1762.5,1750,1775,1767,1799.5,1775,1750,1767,1750,1799,1824.5,1995,1800,1729,1727,1800,1750
11216,New York,NY,New York,Kings,48,,,,,,,,,,,,,,,,,,,,,3500,3200,3000,2874.5,2900,2800,3000,3000,3200,3200,3449.5,3500,3600,3499,3500,3500,3399,3458,3350,3343,3330,3400,3500,3300,3385,3499,3500,3500,3500,3500,3500,3525,3600,3600,3600,3600,3700,3700,3700,3700,3800,3800,3798,3600,3685,3700,3700,3792.5,3700,3750
